zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1239, -346), P2(-1239, -346), HeightProb:255, HeightStatus:2, Dist:307, PosDeDis1:342, l_TrainResult:1, probability:9985
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1248, -347), P2(-1248, -347), HeightProb:255, HeightStatus:2, Dist:310, PosDeDis1:351, l_TrainResult:1, probability:9984
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1260, -348), P2(-1260, -348), HeightProb:255, HeightStatus:2, Dist:319, PosDeDis1:363, l_TrainResult:1, probability:9984
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1281, -350), P2(-1281, -350), HeightProb:255, HeightStatus:2, Dist:378, PosDeDis1:384, l_TrainResult:1, probability:9970
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1314, -354), P2(-1314, -354), HeightProb:255, HeightStatus:2, Dist:388, PosDeDis1:418, l_TrainResult:1, probability:9928
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1356, -359), P2(-1356, -359), HeightProb:255, HeightStatus:2, Dist:434, PosDeDis1:460, l_TrainResult:1, probability:9953
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1411, -365), P2(-1411, -365), HeightProb:255, HeightStatus:2, Dist:475, PosDeDis1:515, l_TrainResult:1, probability:9972
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1475, -372), P2(-1475, -372), HeightProb:255, HeightStatus:2, Dist:531, PosDeDis1:580, l_TrainResult:1, probability:9951
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1549, -380), P2(-1549, -380), HeightProb:255, HeightStatus:2, Dist:595, PosDeDis1:654, l_TrainResult:1, probability:9922
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1630, -389), P2(-1630, -389), HeightProb:255, HeightStatus:2, Dist:694, PosDeDis1:736, l_TrainResult:1, probability:9937
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1722, -399), P2(-1722, -399), HeightProb:255, HeightStatus:2, Dist:776, PosDeDis1:828, l_TrainResult:1, probability:9947
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-2202, -590), P2(-2202, -590), HeightProb:80, HeightStatus:1, Dist:1308, PosDeDis1:828, l_TrainResult:1, probability:9947
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-2199, -540), P2(-2199, -540), HeightProb:105, HeightStatus:1, Dist:1296, PosDeDis1:828, l_TrainResult:1, probability:9947
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-2163, -567), P2(-2163, -567), HeightProb:130, HeightStatus:1, Dist:1261, PosDeDis1:828, l_TrainResult:1, probability:9947
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-2146, -549), P2(-2146, -549), HeightProb:155, HeightStatus:1, Dist:1253, PosDeDis1:1502, l_TrainResult:1, probability:5250
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-2115, -560), P2(-2115, -560), HeightProb:180, HeightStatus:2, Dist:1210, PosDeDis1:1225, l_TrainResult:1, probability:5399
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-2093, -552), P2(-2093, -552), HeightProb:205, HeightStatus:2, Dist:1205, PosDeDis1:1462, l_TrainResult:1, probability:6682
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-2044, -563), P2(-2044, -563), HeightProb:230, HeightStatus:2, Dist:1158, PosDeDis1:1176, l_TrainResult:0, probability:3100
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-2045, -555), P2(-2045, -555), HeightProb:220, HeightStatus:2, Dist:1135, PosDeDis1:1424, l_TrainResult:1, probability:6502
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1997, -563), P2(-1997, -563), HeightProb:245, HeightStatus:2, Dist:1111, PosDeDis1:1133, l_TrainResult:0, probability:4651
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1999, -555), P2(-1999, -555), HeightProb:235, HeightStatus:2, Dist:1089, PosDeDis1:1389, l_TrainResult:1, probability:6814
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1950, -564), P2(-1950, -564), HeightProb:255, HeightStatus:2, Dist:1066, PosDeDis1:1086, l_TrainResult:1, probability:6726
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1758, -563), P2(-1758, -563), HeightProb:255, HeightStatus:2, Dist:869, PosDeDis1:898, l_TrainResult:1, probability:6318
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1710, -563), P2(-1710, -563), HeightProb:255, HeightStatus:2, Dist:820, PosDeDis1:852, l_TrainResult:1, probability:8429
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1665, -563), P2(-1665, -563), HeightProb:255, HeightStatus:2, Dist:774, PosDeDis1:810, l_TrainResult:1, probability:8455
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1618, -563), P2(-1618, -563), HeightProb:255, HeightStatus:2, Dist:730, PosDeDis1:765, l_TrainResult:1, probability:8235
zhao_od_ID:1, ObjName:锥桶圆形right, HeightLabel:1, OdDir:2, P1(-1567, -561), P2(-1567, -561), HeightProb:255, HeightStatus:2, Dist:684, PosDeDis1:716, l_TrainResult:1, probability:9370
