zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(6304, 660), P2(6304, 660), HeightProb:80, HeightStatus:1, Dist:2568, PosDeDis1:2731, l_TrainResult:0, probability:3498
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(6259, 641), P2(6259, 641), HeightProb:80, HeightStatus:1, Dist:2522, PosDeDis1:2690, l_TrainResult:0, probability:3965
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(6223, 634), P2(6223, 634), HeightProb:80, HeightStatus:1, Dist:2486, PosDeDis1:2644, l_TrainResult:0, probability:4750
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(6050, 642), P2(6050, 642), HeightProb:80, HeightStatus:1, Dist:2307, PosDeDis1:2477, l_TrainResult:1, probability:5597
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(6018, 631), P2(6018, 631), HeightProb:105, HeightStatus:1, Dist:2278, PosDeDis1:2444, l_TrainResult:0, probability:4800
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5900, 643), P2(5900, 643), HeightProb:95, HeightStatus:1, Dist:2161, PosDeDis1:2323, l_TrainResult:0, probability:4950
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5854, 649), P2(5854, 649), HeightProb:85, HeightStatus:1, Dist:2116, PosDeDis1:2281, l_TrainResult:0, probability:4403
zhao_od_ID:1, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5784, 653), P2(5784, 653), HeightProb:80, HeightStatus:1, Dist:2047, PosDeDis1:2212, l_TrainResult:0, probability:4502
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5799, -104), P2(5799, -104), HeightProb:80, HeightStatus:1, Dist:2042, PosDeDis1:2212, l_TrainResult:0, probability:4502
zhao_od_ID:2, ObjName:16cm草丛curb, HeightLabel:0, OdDir:1, P1(5759, -115), P2(5759, -115), HeightProb:80, HeightStatus:1, Dist:1993, PosDeDis1:2212, l_TrainResult:0, probability:4502
