Train_OD_Project,ObjName,HeightLabel,Direction,Obj_ID,CurCyc,PosDeDis1,PosDeAmp1,PosDeDis2,PosDeAmp2,PosCeDis1,PosCeAmp1,PosCeDis2,PosCeAmp2,TrainObjDist,AvgDeEchoHigh_SameTx,AvgCeEchoHigh_SameTxRx,OdoDiffObjDis,OdoDiffDeDis,OdoDiff,ObjDiff,CosAngle,RateOfVhoDeDiff,AngleDist,TxSensID
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1623,868,0,0,5100,0,0,0,1570,1616,1601,5,5,119,114,10000,9056,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1757,597,0,0,5100,0,0,0,1535,991,991,40,40,131,91,10000,9090,1077,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1572,1349,0,0,5100,0,0,0,1523,588,588,16,14,143,127,10000,8421,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1572,1349,0,0,5100,0,0,0,1522,1665,1505,5,5,107,102,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1578,672,0,0,5100,0,0,0,1509,1587,1667,16,16,119,103,10000,13333,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1711,559,0,0,5100,0,0,0,1500,935,935,15,15,120,105,10000,9642,1039,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1699,520,0,0,5100,0,0,0,1477,502,502,27,27,131,104,10000,10172,1038,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1522,1719,0,0,5100,0,0,0,1465,565,565,15,15,131,116,10000,11799,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1508,850,0,0,5100,0,0,0,1454,1602,1686,14,14,119,105,10000,8428,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1654,667,0,0,5100,0,0,0,1432,796,796,27,27,143,116,10000,12456,1000,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1475,2197,0,0,5100,0,0,0,1408,613,613,28,27,131,103,10000,12765,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1459,1320,0,0,5100,0,0,0,1387,1653,1755,28,28,143,115,10000,14693,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1396,815,0,0,5100,0,0,0,1339,947,947,55,56,190,135,10000,8987,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1392,1679,0,0,5100,0,0,0,1327,1577,1577,20,17,190,170,10000,8805,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1457,919,0,0,5100,0,0,0,1231,1283,1283,100,99,273,173,10000,10330,876,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1281,537,0,0,5100,0,0,0,1219,719,719,16,16,262,246,10000,10347,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1281,537,0,0,5100,0,0,0,1219,1317,719,4,4,250,246,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1256,753,0,0,5100,0,0,0,1195,1021,1183,27,25,262,235,10000,9632,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1409,818,0,0,5100,0,0,0,1174,1250,1250,25,22,262,237,10000,10693,854,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1386,1537,0,0,5100,0,0,0,1175,1250,1250,4,22,238,234,10000,8450,823,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1216,762,0,0,5100,0,0,0,1151,1228,1228,26,28,238,212,10000,11076,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1216,762,0,0,5100,0,0,0,1151,662,649,3,3,191,188,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1223,912,0,0,5100,0,0,0,1130,649,649,27,28,203,176,10000,21818,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1223,912,0,0,5100,0,0,0,1134,832,832,7,7,108,101,10000,0,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1344,1022,0,0,5100,0,0,0,1138,859,832,11,11,96,85,10000,7384,832,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1313,819,0,0,5100,0,0,0,1116,920,920,38,35,119,81,10000,9726,763,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1158,596,0,0,5100,0,0,0,1092,1178,1178,40,36,119,79,10000,12241,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1158,596,0,0,5100,0,0,0,1093,706,679,13,12,95,82,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1143,1524,0,0,5100,0,0,0,1093,679,679,13,13,95,82,10000,5875,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1289,1190,0,0,5100,0,0,0,1071,1116,1218,37,34,95,58,10000,12909,792,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1262,1040,0,0,5100,0,0,0,1047,1106,1106,39,28,119,80,10000,14117,725,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1126,987,0,0,5100,0,0,0,1048,929,929,12,3,95,83,10000,15000,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1126,987,0,0,5100,0,0,0,1048,726,791,9,4,95,86,10000,0,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1079,1400,1152,737,5100,0,0,0,1025,791,791,29,28,119,90,10000,11250,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1222,796,0,0,5100,0,0,0,1002,1462,1462,29,28,120,91,10000,10746,753,5
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1221,935,0,0,5100,0,0,0,1004,993,993,6,3,96,90,10000,11707,700,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1035,2345,0,0,5100,0,0,0,960,987,987,54,52,143,89,10000,16136,1,4
Train_OD_HY11,路沿13cm2mid,0,front,2,9,1143,1292,0,0,5100,0,0,0,936,1756,987,34,34,167,133,10000,9102,641,2
Train_OD_HY11,路沿13cm2mid,0,front,2,9,987,1519,0,0,5100,0,0,0,912,1089,1089,32,32,167,135,10000,10287,1,3
Train_OD_HY11,路沿13cm2mid,0,front,2,9,987,1519,0,0,5100,0,0,0,912,1164,1253,8,7,143,135,10000,0,1,3
