Train_OD_Project,ObjName,HeightLabel,Direction,Obj_ID,CurCyc,PosDeDis1,PosDeAmp1,PosDeDis2,PosDeAmp2,PosCeDis1,PosCeAmp1,PosCeDis2,PosCeAmp2,TrainObjDist,AvgDeEchoHigh_SameTx,AvgCeEchoHigh_SameTxRx,OdoDiffObjDis,OdoDiffDeDis,OdoDiff,ObjDiff,CosAngle,RateOfVhoDeDiff,AngleDist,TxSensID
Train_OD_HY11,锥桶圆形right,1,rear,1,5,1462,569,0,0,5100,0,0,0,1182,1100,1100,28,28,119,91,7389,12000,993,10
Train_OD_HY11,锥桶圆形right,1,rear,1,6,1176,780,0,0,5100,0,0,0,1135,569,569,53,40,167,114,9945,14693,121,9
Train_OD_HY11,锥桶圆形right,1,rear,1,7,1424,512,0,0,5100,0,0,0,1135,1020,1020,6,6,167,161,7245,12631,990,10
Train_OD_HY11,锥桶圆形right,1,rear,1,8,1133,1133,0,0,5100,0,0,0,1089,554,554,53,40,214,161,9937,10930,127,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,1389,463,0,0,5100,0,0,0,1090,1042,1042,7,7,214,207,7110,13428,985,10
Train_OD_HY11,锥桶圆形right,1,rear,1,9,1086,1391,0,0,5100,0,0,0,1043,536,536,43,43,238,195,9929,10212,133,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,898,1239,0,0,0,0,0,0,855,1098,1098,194,194,404,210,9849,10106,154,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,852,1472,0,0,0,0,0,0,808,1125,1125,50,55,429,379,9821,10434,159,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,810,2000,0,0,0,0,0,0,765,1183,1183,56,56,453,397,9791,11428,165,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,765,4119,0,0,0,0,0,0,719,1335,1335,59,58,476,417,9756,10444,170,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,716,4037,0,0,0,0,0,0,670,1733,1733,60,60,476,416,9699,9795,174,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,673,4926,0,0,0,0,0,0,625,2198,2198,59,58,524,465,9640,11162,179,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,623,3157,0,0,0,0,0,0,573,2539,2539,60,60,524,464,9563,9400,182,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,587,5532,0,0,0,0,0,0,537,2792,2792,55,54,572,517,9462,13333,190,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,543,9431,0,0,0,0,0,0,491,3097,3097,66,66,572,506,9330,10909,194,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,496,6894,0,0,0,0,0,0,441,3990,3990,65,65,429,364,9166,10000,197,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,454,3823,0,0,0,0,0,0,397,4618,4618,62,62,429,367,8961,11428,202,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,415,3730,803,836,0,0,0,0,352,4879,4879,61,61,429,368,8654,12307,207,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,385,6521,739,780,0,0,0,0,319,5072,5072,38,38,405,367,8478,7666,204,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,351,6186,0,0,0,0,0,0,278,5339,5339,54,54,405,351,7980,14117,211,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,328,6064,0,0,0,0,0,0,249,5577,5577,34,34,381,347,7694,10434,209,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,309,3371,0,0,0,0,0,0,224,5704,5704,34,34,358,324,7322,12631,210,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,300,1894,0,0,0,0,0,0,207,5728,5728,20,20,333,313,6898,25555,217,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,238,3673,411,991,0,0,0,0,123,5323,5323,73,73,357,284,5137,11612,204,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,228,5373,0,0,0,0,0,0,101,4684,4684,16,16,334,318,4325,24000,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,222,7559,0,0,0,0,0,0,88,4515,4515,2,2,298,296,3831,20000,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,218,6882,0,0,0,0,0,0,85,4930,4930,-14,-14,250,264,3806,0,201,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,222,6686,0,0,0,0,0,0,87,5280,5280,-7,-7,227,234,3803,0,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,221,6524,0,0,0,0,0,0,87,5298,5298,-12,-12,179,191,3803,0,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,221,7161,0,0,0,0,0,0,87,5336,5336,-7,-7,155,162,3803,0,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,222,6386,0,0,0,0,0,0,87,5458,5458,-6,-6,131,137,3803,0,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,222,6467,0,0,0,0,0,0,87,5793,5793,-12,-12,108,120,3803,0,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,220,7322,0,0,0,0,0,0,85,6301,6301,0,0,36,36,3770,0,204,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,220,7109,0,0,0,0,0,0,85,6706,6706,-4,-4,12,16,3770,0,204,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,223,7473,0,0,0,0,0,0,86,6899,6899,-4,-4,12,16,3746,0,206,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,219,6016,0,0,0,0,0,0,84,6890,6890,-4,-4,12,16,3737,0,203,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,220,5985,0,0,0,0,0,0,84,6793,6793,-4,-4,12,16,3737,0,203,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,222,7055,0,0,0,0,0,0,85,6715,6715,-4,-4,12,16,3713,0,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,220,7065,0,0,0,0,0,0,84,6774,6774,-4,-4,12,16,3680,0,204,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,222,7521,0,0,0,0,0,0,84,6764,6764,-4,-4,12,16,3685,0,205,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,222,6075,0,0,0,0,0,0,84,6890,6890,-4,-4,12,16,3674,0,206,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,230,5046,0,0,0,0,0,0,88,6846,6846,-4,-4,12,16,3656,0,214,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,240,3557,418,976,0,0,0,0,94,6593,6593,-4,-4,12,16,3645,0,223,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,304,4173,0,0,0,0,0,0,237,6199,6199,122,122,130,8,8203,20312,174,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,367,9071,687,944,0,0,0,0,311,5832,5832,61,61,214,153,8959,13333,163,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,438,4666,848,851,0,0,0,0,387,6172,6172,70,70,297,227,9385,11690,152,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,536,8313,0,0,0,0,0,0,488,6025,6025,102,102,404,302,9653,10918,140,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,643,4186,0,0,0,0,0,0,599,6165,6165,119,119,523,404,9805,11121,125,9
Train_OD_HY11,锥桶圆形right,1,rear,1,9,751,2738,0,0,0,0,0,0,709,5845,5845,127,127,642,515,9886,11018,110,9
